,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,3.647767184302211
mean_L_list,"[0.0, 0.15226985729325018, 0.38603700552817, 0.5543573324800051, 0.6249232582806924, 0.6497818443534179, 0.6603526721988212, 0.6660290229575523, 0.669597301944665, 0.6719021910163945, 0.673371719759185, 0.6742924746342973, 0.6748616020905519, 0.6752098403923972, 0.6754217491721178, 0.6755504305469388]"
mean_U_list,"[0.7414266117969822, 0.7018427062903291, 0.695654140023188, 0.6908699006733837, 0.6865456655515791, 0.6828359377592925, 0.6800367148852754, 0.6782203265995407, 0.6770887062205626, 0.6763799244269959, 0.675938301792519, 0.6756667638079702, 0.6755018785925851, 0.6754028636618932, 0.6753439719134077, 0.675309074324479]"
