,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,2.567118179053068
mean_L_list,"[0.0, 0.3996699471951007, 0.4230021661998167, 0.42301416074779746, 0.42301427098175015, 0.42301427098175204]"
mean_U_list,"[0.4388, 0.4248141484807377, 0.42410723893996694, 0.4234336379209299, 0.4229903359735389, 0.42287407433417634]"
