,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,5.277166455984116
mean_L_list,"[0.0, 0.4067998785370453, 0.4303994781183148, 0.43040839596804625, 0.4304083961096912, 0.4304083961096912]"
mean_U_list,"[0.44277777777777777, 0.4322238530793439, 0.43150246454209096, 0.43081755085947576, 0.43037781892981253, 0.4302664000476553]"
