,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,11.081045858561993
mean_L_list,"[0.0, 0.4159246641847299, 0.435290614707572, 0.43529183760411366, 0.43529183760564877, 0.43529183760564877]"
mean_U_list,"[0.44551020408163267, 0.4371178880553693, 0.43638757772122055, 0.43569681776377495, 0.43525923633076, 0.4351491083115038]"
