,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,17.75996613316238
mean_L_list,"[0.0, 0.9969738724277417]"
mean_U_list,"[1.0, 0.9976439092767743]"
