,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,35.22487163171172
mean_L_list,"[0.0, 0.9974571458009149]"
mean_U_list,"[1.0, 0.9978619028255711]"
