,0
Exported States (PRISM),2304
Transitions,11735907
Qualitative_time_sec,3.539630889892578
mean_L_list,"[0.0625, 0.1792126536167249, 0.4043361754393824, 0.5411934587372557, 0.5915442419758855, 0.608776397612583, 0.6156631547798316, 0.6185065966490755, 0.6196639340952351, 0.6201669891280647, 0.6203980710644614]"
mean_U_list,"[0.6831597222222222, 0.6396618846704347, 0.6318533065526546, 0.6271933327444482, 0.6236726255569855, 0.6216039321092699, 0.6208090944626163, 0.620498002287179, 0.6203712259750075, 0.6203188027912989, 0.6202970874227156]"
