,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,10.225863536819816
mean_L_list,"[0.01, 0.4035948974076869, 0.4303934941981584, 0.4304083960259191, 0.4304083961096912, 0.4304083961096912]"
mean_U_list,"[0.44277777777777777, 0.4322259162385724, 0.43150422655081144, 0.4308203070423586, 0.43037941386566786, 0.43026728728050917]"
