,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,22.678342029452324
mean_L_list,"[0.01, 0.4262598051607071, 0.435291326737153, 0.43529183758975276, 0.43529183760564877, 0.43529183760564877]"
mean_U_list,"[0.44551020408163267, 0.4371195849663835, 0.43638875967744967, 0.43569722861333277, 0.43526008955132, 0.43515013547226505]"
