,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,2.4653761833906174
mean_L_list,"[0.568, 0.9959529395288313]"
mean_U_list,"[1.0, 0.9973924396344402]"
