,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,2.5202307235449553
mean_L_list,"[0.0, 0.3974079367644136, 0.42089683334439254, 0.4209126712432159, 0.42091279845885793, 0.42091279845894825]"
mean_U_list,"[0.4368, 0.4228143484807376, 0.42210743893996694, 0.4214279552258329, 0.42092390712951366, 0.4207707555002188]"
