,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,11.319762740284204
mean_L_list,"[0.0, 0.4243866784846578, 0.4338561903085566, 0.43386326470587333, 0.4338632661770773, 0.4338632661770773]"
mean_U_list,"[0.4440816326530612, 0.43569047936747124, 0.4349600381458693, 0.4342682546136405, 0.43383059897572385, 0.4337206889499431]"
