,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,3.2434394620358944
mean_L_list,"[0.0, 0.14681372294483613, 0.36086524587374774, 0.5142161752989934, 0.5849048377379316, 0.6158875183888227, 0.6324513310237042, 0.6427825921580915, 0.6495204350865649, 0.6539995637049337, 0.6570238737460172, 0.6590890342989597, 0.6605036707412983, 0.6614623087671415, 0.6621063762339315, 0.6625382105196379, 0.6628273199649443, 0.6630205690801193]"
mean_U_list,"[0.7335390946502057, 0.6938495169874148, 0.6873225094133448, 0.6824043204156073, 0.6779195871201752, 0.6738994097838327, 0.6704945626437108, 0.6679815973807482, 0.6663001634482802, 0.665166505147604, 0.6643920828082926, 0.6638681061255035, 0.6635192538345973, 0.6632903289905837, 0.6631415909460219, 0.6630453005355427, 0.6629830254164524, 0.6629427625611135]"
