,0
Exported States (PRISM),3200
Transitions,963734
Qualitative_time_sec,0.8566453643143177
mean_L_list,"[0.0, 0.37251612813818225, 0.41866893432940383, 0.4187812142172234, 0.41878142980775335, 0.4187814298304341]"
mean_U_list,"[0.43, 0.4207548821185467, 0.42002709127759685, 0.41934386174290106, 0.4188299314378599, 0.4186478157717427]"
