,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,11.962008830159903
mean_L_list,"[0.0, 0.4144671389579206, 0.43386199490178695, 0.4338632661754571, 0.4338632661770773, 0.4338632661770773]"
mean_U_list,"[0.4440816326530612, 0.43568945948394067, 0.434959149149792, 0.4342683891051137, 0.43383080763212334, 0.4337206796922763]"
