,0
Exported States (PRISM),2304
Transitions,11735907
Qualitative_time_sec,5.281133491545916
mean_L_list,"[0.0, 0.26262900739618683, 0.4574392536165988, 0.5447084303071095, 0.5789621443316115, 0.593285514197185, 0.5996653245192587, 0.6027109941071178, 0.6043229008303047, 0.6052435896335637, 0.6057806258222163, 0.6060940826225698, 0.6062818925016945, 0.606395641636693]"
mean_U_list,"[0.6731770833333334, 0.6299761076363288, 0.621711861440169, 0.6164358434870661, 0.6122105590571703, 0.609193676274474, 0.6076653740644538, 0.6069631452147376, 0.6066111004205158, 0.6064289489019701, 0.6063325675373646, 0.6062810397494586, 0.6062532360372089, 0.6062381265882019]"
