,0
Exported States (PRISM),7200
Transitions,6417057
Qualitative_time_sec,15.368134081363678
mean_L_list,"[0.0, 0.42028660707562143, 0.4287378335497311, 0.42873907619470886, 0.42873907619470886, 0.42873907619470886]"
mean_U_list,"[0.4411111111111111, 0.430562743351505, 0.42984225145968286, 0.42915808022065655, 0.4287335400319919, 0.42863895661843765]"
