,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,33.35181738436222
mean_L_list,"[0.0, 0.42776390220696764, 0.4338616210451837, 0.4338632661770443, 0.4338632661770773, 0.4338632661770773]"
mean_U_list,"[0.4440816326530612, 0.43569286128543655, 0.4349623926404513, 0.4342723443313947, 0.43385400561362253, 0.433762975589412]"
