,0
Exported States (PRISM),3200
Transitions,963734
Qualitative_time_sec,0.8471460752189159
mean_L_list,"[0.0075, 0.387215076621126, 0.41873106045350883, 0.4187813799615786, 0.41878142982870603, 0.4187814298304346]"
mean_U_list,"[0.43, 0.42075563575263153, 0.420028398210023, 0.4193469680500001, 0.41884656837131806, 0.4186862545829925]"
