,0
Exported States (PRISM),9800
Transitions,0
Qualitative_time_sec,11.080440377816558
mean_L_list,"[0.008571428571428572, 0.42652149612797396, 0.43386270850705183, 0.43386326617696463, 0.4338632661770773, 0.4338632661770773]"
mean_U_list,"[0.4440816326530612, 0.4356903166875061, 0.43496052161194104, 0.4342729384621912, 0.43385564523412556, 0.4337637609122036]"
