,0
Qualitative_time_sec,8.388514800000848
mean_L_list,"[0.41172475199030384, 0.43674621960597004, 0.4460814031255393, 0.45006488615308826, 0.451956414508829, 0.4528947316754192, 0.45336851774753706, 0.45361224788633797, 0.4537379361014076, 0.4538028709246599, 0.45383653636250143, 0.4538541304556608, 0.4538633991024111, 0.453868309294964, 0.4538709225608769, 0.4538723188816031, 0.4538730676187354, 0.45387347032133185, 0.453873687498595, 0.45387380490016305]"
mean_U_list,"[0.6305793945968443, 0.615356411051753, 0.6014985753214527, 0.5883418995026723, 0.5756977290309236, 0.563476965989097, 0.551695951277061, 0.5403157467613355, 0.5292994347185068, 0.5186487308656776, 0.5083436432041288, 0.4984652942119629, 0.4890981979738399, 0.48028538685508804, 0.472218782555281, 0.4653065634498655, 0.4602155366621541, 0.4566367494337666, 0.45454429991869577, 0.4535182751541355]"
