,0
Qualitative_time_sec,274.7412452999997
mean_L_list,"[0.40979839624073605, 0.4383303914033161, 0.4499857059484651, 0.45545688639905935, 0.4581606402075493, 0.45953864106227105, 0.4602358388285631, 0.46059738742862644, 0.46078780609638964, 0.46088792487861324, 0.4609402921161727, 0.4609675189751821, 0.4609816254318992, 0.4609889221353656, 0.46099269267168796, 0.46099464070048174, 0.4609956473180334, 0.46099616754876865, 0.4609964364530349, 0.46099657546470885, 0.4609966473322915, 0.46099668448794456, 0.4609967036981251, 0.46099671363069245, 0.4609967187666549, 0.46099672142260567, 0.4609967227960412, 0.4609967235061931, 0.46099672387335, 0.46099672406316533, 0.460996724161295, 0.46099672421202503, 0.46099672423825067, 0.4609967242518083, 0.4609967242588172, 0.4609967242624406, 0.46099672426431376, 0.4609967242652822, 0.4609967242657828, 0.4609967242660415]"
mean_U_list,"[0.681345191555694, 0.6731605039146571, 0.6655674960924848, 0.6582894639031099, 0.6511886138656284, 0.6442082985441135, 0.6373226607237114, 0.6305266864563112, 0.6238183053411455, 0.6171867111861721, 0.6106292518804224, 0.6041456116665845, 0.5977428345408656, 0.5914295422083238, 0.585201718884282, 0.5790620788428932, 0.5729999651352543, 0.5670110759880286, 0.561102896816507, 0.5552695874615147, 0.5495026622512299, 0.5438029983385307, 0.5381707288071562, 0.532606069867642, 0.5271194969432721, 0.5217030965647232, 0.5163536357647188, 0.5110744802082686, 0.5058694054405475, 0.500742581853684, 0.49569495956751775, 0.4907575402796401, 0.48591197745447173, 0.4811432895233065, 0.476482894620774, 0.47196616084431287, 0.4676506672187345, 0.4640751879762991, 0.46177415547124573, 0.46057071641993336]"
