,0
Qualitative_time_sec,74.8992459000001
mean_L_list,"[0.0, 0.40987901515919023, 0.4124718730664633, 0.4124718883924178, 0.4124718883924197, 0.4124718883924197]"
mean_U_list,"[0.4475, 0.431498862282739, 0.42667002821431177, 0.4218998808536794, 0.41718825037598023, 0.4125329502062832]"
