address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,31,12.251379,4,12.480771753937006,0.11120720766484737,1.0187238717508103
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,11,9.237756,3,15.328114185482264,0.30628262646496296,1.6592898025628295
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,30,47.916054,4,45.95468824543059,0.40248641185462475,0.9590666339370784
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,25.435886,5,47.92040148936212,0.5070485603064299,1.8839682632379677
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,15,36.484394,5,74.46161489374936,0.550637835636735,2.0409168851419435
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,67.936053,6,130.17310692183673,0.8402618151158094,1.9161123117806709
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,22,145.052874,4,158.91445074602962,1.2856248132884502,1.0955622319636646
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,13,88.627321,5,180.68741580098867,1.5514992624521255,2.0387326791678713
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,10,90.566485,4,195.65402063541114,1.6487667504698038,2.1603358081671327
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,16,179.714784,5,306.5774198267609,2.390425367280841,1.7059109629168387
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,15,289.165040,4,448.4934839513153,3.647767184302211,1.5509948350164695
