address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,31,12.085890,5,13.896722430363297,0.11250381730496883,1.1498302536941813
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,11,9.297879,3,15.509025380015373,0.20337548851966858,1.6680175577284502
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,30,49.105131,3,37.84507971443236,0.4026457704603672,0.7706950141514836
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,26.357600,6,53.26142699085176,0.51391526684165,2.0207236912887407
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,15,36.805899,4,58.19865145161748,0.5562138874083757,1.5812316110485867
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,67.704208,4,94.67717347666621,0.9184448551386595,1.3983942198710857
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,22,147.554546,4,156.4642113354057,1.341386653482914,1.0603821838738297
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,13,90.705401,4,152.63012730516493,1.3287956733256578,1.6827016480276766
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,10,92.918795,4,194.1204875651747,1.6174573209136724,2.0891412458706813
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,16,183.240362,4,255.3921832125634,2.028891548514366,1.3937550690643046
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,15,287.360543,6,613.7562684360892,3.4975906759500504,2.1358404392120462
