address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,32,13.323353,5,14.533652054145932,0.11189042776823044,1.090840426611593
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,11,9.263719,5,22.54383417032659,0.20391922630369663,2.433562028444907
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,30,49.291656,3,37.66938859038055,0.37249162979424,0.7642143054110492
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,26.123280,5,45.18528538569808,0.3672473430633545,1.7296941633826852
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,14,34.932575,4,58.96977407298982,0.702697966247797,1.6881026786827353
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,69.132580,5,112.4614635091275,0.8753805570304394,1.626750571960318
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,22,145.621268,4,156.4235764387995,1.3327639009803534,1.0741808444930798
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,13,89.746530,5,178.35651285760105,1.3438654243946075,1.9873360281303698
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,10,92.707446,4,194.69354692101479,1.6216442827135324,2.1000853163115987
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,17,194.910753,5,302.9104610104114,2.0130863524973392,1.5540982512208252
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,15,283.952074,4,443.7716654073447,3.1443969532847404,1.5628400210502207
