address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,10,12.189151,4,33.443777890875936,0.3411662932485342,2.743733230617978
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,5,13.502266,4,57.82105819135904,0.6349356789141893,4.28232263354833
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,10,50.968118,5,137.4092244077474,1.1202571652829647,2.6959838740731015
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,8,38.547749,4,111.77832405641675,1.23481441475451,2.8997367514887
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,8,61.758235,4,162.56116040796041,1.8204690124839544,2.632218348594953
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,9,113.207688,6,358.60574208572507,2.5959418788552284,3.1676801018822394
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,10,210.523640,4,453.98365824483335,3.8505700454115868,2.156449781635949
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,7,155.079285,4,466.6835726797581,4.003895379602909,3.0093224477247498
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,6,177.128808,4,590.1723729781806,5.399581445381045,3.3318824774213356
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,7,263.640515,4,810.5111004281789,6.989846993237734,3.0743040419326406
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,6,389.661114,4,1335.8167169895023,11.101236389949918,3.4281499190815463
