address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,32,24.606447,5,27.97856649942696,0.21631244756281376,1.137042135230285
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,11,18.329355,3,29.746366633102298,0.5050164312124252,1.6228812497293437
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,30,97.211544,3,71.32213678583503,0.7684899475425482,0.7336797043214174
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,52.154139,4,76.96694072708488,0.7308401875197887,1.4757590248248802
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,15,71.924087,5,138.64008987136185,1.0679365303367376,1.9275891433737875
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,135.812472,5,215.92895847931504,1.6505841184407473,1.5899052279533485
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,22,294.926644,4,322.4180111195892,2.826342713087797,1.093214253402457
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,13,182.512399,5,365.69700491055846,2.646480092778802,2.003683076402917
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,10,186.554517,3,320.30141383223236,3.539630889892578,1.7169319712788107
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,16,364.359630,5,636.115045806393,4.002671122550964,1.7458439208158392
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,15,587.008674,5,1087.0321612078696,6.997184345498681,1.8518161812314353
