address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,10,4.188276,7,16.249157190322876,0.11203469522297382,3.8796764574185083
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,6,5.365891,4,19.347034404054284,0.20896591246128082,3.6055587467550643
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,10,17.381141,4,39.39587694965303,0.36285840533673763,2.2665875281259575
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,8,12.905202,6,53.58543527126312,0.36058612167835236,4.152235168047182
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,9,22.812815,3,44.68946141190827,0.5314694978296757,1.9589630385923804
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,9,38.337442,4,88.36987067572773,0.8572437558323145,2.3050539218974024
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,10,70.031371,5,177.3259900417179,1.3378191236406565,2.5320936511808005
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,6,44.498094,5,178.884702231735,1.2861194368451834,4.020053136979714
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,6,57.923007,4,189.00014751777053,1.5887392926961184,3.2629546840768446
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,7,86.623722,3,205.8634293153882,2.093971887603402,2.376524855487248
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,6,122.814686,5,500.25916326604784,3.546108579263091,4.073284541060169
