address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,0,0.035403,1,0.01898888684809208,0.04000228829681873,0.5363620259439426
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,0,0.013493,1,0.02195911481976509,0.07253166288137436,1.6274685963102167
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,0,0.003708,1,0.03880843333899975,0.12016047351062298,10.466464053288993
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,0,0.002658,1,0.026821326464414597,0.12344238348305225,10.0912230490097
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,0,0.002583,1,0.03221370093524456,0.18558751419186592,12.472702214632092
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,0,0.002809,1,0.03767113573849201,0.2523995637893677,13.410029406596758
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,0,0.002934,1,0.04769371077418327,0.355746740475297,16.25659079307919
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,0,0.002937,1,0.04851636290550232,0.40045752190053463,16.518924732955817
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,0,0.003205,1,0.05483524687588215,0.43222456984221935,17.108697471422012
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,0,0.003099,1,0.08568377792835236,0.5764575079083443,27.64778309283357
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,0,0.003435,1,0.08313239365816116,0.8975944090634584,24.202050305973327
