address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,46,18.414990,5,14.3222686201334,0.11944328621029854,0.7777505701512245
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,13,10.682440,4,18.819056656211615,0.20805586501955986,1.761681395229825
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,31,49.720540,4,45.133405182510614,0.5351026356220245,0.9077416610839261
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,25.599461,5,46.09307849034667,0.39029695093631744,1.8005488070956195
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,15,37.303042,7,93.94460210390389,0.5372783504426479,2.5184166589877726
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,69.365619,5,113.82356169261038,0.8720602858811617,1.6409218730410093
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,22,148.588077,6,213.9175259359181,1.3484263308346272,1.4396681734328702
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,14,95.452645,4,152.61713384836912,1.361659798771143,1.5988780022345785
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,13,116.232896,5,229.52542481198907,1.660679455846548,1.9747027939864965
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,21,237.859279,4,263.03841217793524,2.3849205169826746,1.1058572669480022
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,17,326.378462,4,450.11263845674694,3.59187438711524,1.379112565691749
