address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,47,18.294315,4,13.264701537787914,0.11436835303902626,0.7250723422048859
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,13,10.533857,3,14.977486761286855,0.2067166045308113,1.4218426170869236
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,31,49.420312,4,46.278596026822925,0.3831361047923565,0.9364286485952964
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,25.866357,4,40.71048370748758,0.3909282498061657,1.5738777408434244
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,15,36.846252,4,59.06685573980212,0.6861511133611202,1.6030627751345021
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,68.603195,4,96.25091167539358,0.8650911450386047,1.4030091641495746
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,22,146.180686,5,190.60675262659788,1.3222308326512575,1.3039120091889929
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,14,96.308184,4,155.15607069619,1.3251493107527494,1.611037239583661
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,13,115.257337,4,193.43964159488678,1.9383660070598125,1.6783282210436157
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,21,235.604011,4,265.1057142224163,2.302810689434409,1.1252173212411678
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,17,322.120714,9,877.870542647317,3.2434394620358944,2.7252843577502626
