address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,47,53.883725,4,38.33750084228814,0.33174432814121246,0.711485724717971
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,13,32.261123,3,48.19950229674578,0.607413599267602,1.4940429276490248
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,32,154.580322,6,204.21813775785267,1.091770550236106,1.3211134170553218
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,17,77.617225,4,113.35026343725622,1.0655674934387207,1.460375114086229
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,15,111.876153,7,274.4142891764641,1.7413013149052858,2.452839870717856
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,17,209.039796,4,280.28388999961317,2.444568956270814,1.3408159382911493
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,23,469.226067,5,582.688051847741,3.811299839988351,1.2418066535900314
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,14,293.569831,5,569.6824079304934,3.732556978240609,1.9405345753175278
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,13,363.423319,4,609.1184430159628,5.281133491545916,1.6760576748095366
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,22,757.296740,4,859.1069883815944,6.2933186534792185,1.134439041820445
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,17,1034.664476,7,2295.233302341774,9.52209572866559,2.218335853340441
