,0
Qualitative_time_sec,163.57351960000233
mean_L_list,"[0.3676226656113225, 0.39013303254303905, 0.39758019764104335, 0.4002670077534577, 0.4012368399571215, 0.4015823297656122, 0.40170406971591893, 0.40174713850132826, 0.40176248768662176, 0.4017679364976941, 0.40176986334079196, 0.40177054237709264, 0.40177078074117667, 0.4017708641526575, 0.40177089327390864, 0.40177090342380045, 0.40177090695668355, 0.4017709081850991, 0.40177090861189285, 0.4017709087600917, 0.4017709088115333, 0.4017709088293846, 0.4017709088355781, 0.40177090883772665, 0.4017709088384719, 0.40177090883873046, 0.40177090883882005, 0.4017709088388512, 0.401770908838862]"
mean_U_list,"[0.6026535287775701, 0.590427831179698, 0.5800529126349205, 0.5704858417087735, 0.5612466483265753, 0.5521992879233043, 0.5433123450227614, 0.5345866025822896, 0.5260214959192272, 0.5176169831331459, 0.5093672180715332, 0.5013161293839068, 0.49346490326419884, 0.48578781099495455, 0.4782835677188983, 0.4709256573664858, 0.4637077009349479, 0.4566352295015613, 0.44970320899225835, 0.44290749055602147, 0.43628229452827916, 0.4298482503966187, 0.42372399280340034, 0.41801178767550423, 0.4127310266828202, 0.4078553648497593, 0.40397328048501335, 0.4019769055440197, 0.40126315241255944]"
