,0
Qualitative_time_sec,1.119562500000029
mean_L_list,"[0.5974978145278113, 0.6266383773433076, 0.6373126007555922, 0.6415715776599082, 0.6432904924820545, 0.6440080463387885, 0.6443085826969089, 0.6444336746307467, 0.6444857425665355, 0.6445073790783167, 0.6445163968497897, 0.6445201606499285, 0.644521733121227, 0.6445223908274041, 0.6445226662004638]"
mean_U_list,"[0.7656949733696401, 0.752150419111998, 0.7398250520807883, 0.7279996268573196, 0.7165248308176098, 0.7053257213876747, 0.6944272992198908, 0.683814597835818, 0.6735532812323917, 0.6639414293227327, 0.6555977077803606, 0.6495598337517772, 0.6459742263616131, 0.6442192921490563, 0.6435016237798113]"
