,0
Exported States (PRISM),784
Transitions,525209
Qualitative_time_sec,0.7071194853633642
mean_L_list,"[0.0, 0.8701371084526943, 0.9899320029157038, 0.9995050910626192, 0.9999833447289176, 0.9999994841569962, 0.9999999839017951, 0.9999999994890733, 0.9999999999828485, 0.9999999999994079, 0.9999999999999792, 0.9999999999999992, 1.0, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mean_U_list,"[1.0, 0.9998811073941989, 0.9998196937366125, 0.9998101313962148, 0.9998091136612733, 0.9998090185907447, 0.9998090107064026, 0.9998090101049778, 0.999809010060112, 0.9998090100567815, 0.9998090100565357, 0.9998090100565176, 0.9998090100565162, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161, 0.9998090100565161]"
