,0
Exported States (PRISM),1296
Transitions,2012134
Qualitative_time_sec,3.6194790340960026
mean_L_list,"[0.0, 0.8574186655272128, 0.9542695841827036, 0.960332309397187]"
mean_U_list,"[0.9621913580246914, 0.9603719935576047, 0.9603237569179667, 0.9603189889513376]"
