,0
Exported States (PRISM),2919
Transitions,24714943
Qualitative_time_sec,37.25289563089609
mean_L_list,"[0.0, 0.8306595474359741, 0.948421577594931, 0.9561837608704835, 0.9563855522635129]"
mean_U_list,"[0.9585048010973937, 0.9562627014232846, 0.9562164188280623, 0.956212506114605, 0.9562122299092539]"
