,0
Exported States (PRISM),5000
Transitions,2777006
Qualitative_time_sec,19.002926157787442
mean_L_list,"[0.0, 0.9904203097388123]"
mean_U_list,"[0.992, 0.9919004611782377]"
