address,Exported States (PRISM),Transitions,Val_Iter_Convergence_iteration,Val_Iter_Execution_time_sec,Stratgy_Imprv_Convergence_iteration,Stratgy_Imprv_Execution_time_sec,Qualitative_time_sec,ratio_SI_VI
784-0.5-Ab_UAV_10-16-2025_20-48-14,784,525209,4,3.402700,3,13.221342779695988,1.0160223226994276,3.8855444014519054
1024-1-Ab_UAV_11-14-2025_07-27-06,1024,1078716,3,5.670498,2,16.942648496478796,1.8702923934906721,2.9878589666655646
1225-2-Ab_UAV_11-14-2025_07-25-03,1225,2200049,4,14.629227,2,42.613885685801506,3.4610706716775894,2.9129280254330894
1296-2-Ab_UAV_11-14-2025_07-33-15,1296,2012134,3,10.883401,3,50.308366319164634,3.6194790340960026,4.622485565390751
1600-3-Ab_UAV_10-16-2025_13-57-21,1600,3267982,3,17.509270,2,61.80605333298445,5.415368685498834,3.529904624125664
1800-5-Ab_UAV_10-16-2025_15-11-36,1800,5343919,4,36.505894,3,135.49393596500158,8.304656434804201,3.7115632493689117
2025-9-Ab_UAV_11-14-2025_07-35-35,2025,8926753,3,47.644968,2,151.57137638516724,13.392521519213915,3.181267236369975
2160-9-Ab_UAV_10-16-2025_15-16-07,2160,8988796,4,61.456709,7,449.4345151837915,14.014555582776666,7.313026032095213
2304-12-Ab_UAV_11-14-2025_08-04-41,2304,11735907,3,64.479043,2,204.36583521589637,17.921438017860055,3.16949239980014
2430-15-Ab_UAV_10-16-2025_15-25-59,2430,14950777,3,82.701059,2,266.8597746565938,22.16754336282611,3.2267999794802917
2916-25-Ab_UAV_10-16-2025_15-29-37,2919,24714943,4,175.129266,2,459.94302900135517,37.25289563089609,2.6263059222493657
